date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:19:17	93156/93156	---M-Z	200	added ('OK')	text/html	date:Mon,%2001%20Aug%202022%2003:56:30%20GMT	https://altdeck.io/	C:/My%20Web%20Sites/FranzetaR6/altdeck.io/index.html	(from )
12:19:17	67/67	---M--	200	added ('OK')	text/plain	date:Mon,%2001%20Aug%202022%2016:19:51%20GMT	https://altdeck.io/robots.txt		(from )
12:19:18	88932/88932	---M-Z	200	added ('OK')	text/css	etag:%2262d8de7d-15b64%22	https://altdeck.io/wp-includes/css/dist/block-library/style.min.css?ver=6.0.1	C:/My%20Web%20Sites/FranzetaR6/altdeck.io/wp-includes/css/dist/block-library/style.min37ad.css	(from https://altdeck.io/)
12:19:18	1822/1822	---M-Z	200	added ('OK')	application/rss+xml	etag:W/%22fd7fe199ce2e76c613760d09f90fc1bb%22	https://altdeck.io/feed/	C:/My%20Web%20Sites/FranzetaR6/altdeck.io/feed/index.html	(from https://altdeck.io/)
12:19:18	1602/1602	---M-Z	200	added ('OK')	application/rss+xml	etag:W/%22fd7fe199ce2e76c613760d09f90fc1bb%22	https://altdeck.io/comments/feed/	C:/My%20Web%20Sites/FranzetaR6/altdeck.io/comments/feed/index.html	(from https://altdeck.io/)
12:19:18	2731/2731	---M-Z	200	added ('OK')	text/css	etag:%2262d82856-aab%22	https://altdeck.io/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.6.1	C:/My%20Web%20Sites/FranzetaR6/altdeck.io/wp-content/plugins/contact-form-7/includes/css/stylesd96d.css	(from https://altdeck.io/)
12:19:19	122232/122232	---M-Z	200	added ('OK')	text/css	etag:%2262d8283e-1dd78%22	https://altdeck.io/wp-content/themes/bizberg/assets/bootstrap/css/bootstrap.min.css?ver=0.4	C:/My%20Web%20Sites/FranzetaR6/altdeck.io/wp-content/themes/bizberg/assets/bootstrap/css/bootstrap.min2608.css	(from https://altdeck.io/)
12:19:19	73577/73577	---M-Z	200	added ('OK')	text/css	etag:%2262d8283e-11f69%22	https://altdeck.io/wp-content/themes/bizberg/assets/icons/font-awesome-5/css/all.css?ver=0.4	C:/My%20Web%20Sites/FranzetaR6/altdeck.io/wp-content/themes/bizberg/assets/icons/font-awesome-5/css/all2608.css	(from https://altdeck.io/)
12:19:20	3900/3900	---M-Z	200	added ('OK')	text/css	etag:%2262d8283e-f3c%22	https://altdeck.io/wp-content/themes/bizberg/assets/css/main.css?ver=0.4	C:/My%20Web%20Sites/FranzetaR6/altdeck.io/wp-content/themes/bizberg/assets/css/main2608.css	(from https://altdeck.io/)
12:19:21	66056/66056	---M-Z	200	added ('OK')	text/css	etag:%2262d8283e-10208%22	https://altdeck.io/wp-content/themes/bizberg/assets/css/component.css?ver=0.4	C:/My%20Web%20Sites/FranzetaR6/altdeck.io/wp-content/themes/bizberg/assets/css/component2608.css	(from https://altdeck.io/)
12:19:21	163825/163825	---M-Z	200	added ('OK')	text/css	etag:%2262d8283e-27ff1%22	https://altdeck.io/wp-content/themes/bizberg/assets/css/style.css?ver=0.4	C:/My%20Web%20Sites/FranzetaR6/altdeck.io/wp-content/themes/bizberg/assets/css/style2608.css	(from https://altdeck.io/)
12:19:22	6593/6593	---M-Z	200	added ('OK')	text/css	etag:%2262d8283e-19c1%22	https://altdeck.io/wp-content/themes/bizberg/assets/css/responsive.css?ver=0.4	C:/My%20Web%20Sites/FranzetaR6/altdeck.io/wp-content/themes/bizberg/assets/css/responsive2608.css	(from https://altdeck.io/)
12:19:22	16685/16685	---M-Z	200	added ('OK')	text/css	etag:%2262d8283e-412d%22	https://altdeck.io/wp-content/themes/bizberg/style.css?ver=6.0.1	C:/My%20Web%20Sites/FranzetaR6/altdeck.io/wp-content/themes/bizberg/style37ad.css	(from https://altdeck.io/)
12:19:23	39925/39925	---M-Z	200	added ('OK')	text/css	etag:%2262d8283c-9bf5%22	https://altdeck.io/wp-content/themes/econsulting-agency/style.css?ver=6.0.1	C:/My%20Web%20Sites/FranzetaR6/altdeck.io/wp-content/themes/econsulting-agency/style37ad.css	(from https://altdeck.io/)
